scope,cancer,geneA,geneB,geneAFrequency,geneBFrequency,frequencyThreshold,nPatients,nEvents,nDoubleNegative,nBOnly,nAOnly,nDoubleMutant,nStudies,nStrata,eligible,eligibilityRule
cancer-specific,COADREAD,LRP1B,PIK3CA,0.15452151009657594,0.18239683933274803,0.1,1269,372,869,194,155,51,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,LRP1B,SMAD4,0.15452151009657594,0.13191395961369623,0.1,1269,372,956,107,169,37,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,LRP1B,TP53,0.15452151009657594,0.5544337137840211,0.1,1269,372,539,524,99,107,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,MUC16,PIK3CA,0.15671971706454466,0.1832449160035367,0.1,1269,372,814,150,210,95,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,MUC16,SMAD4,0.15671971706454466,0.1317418213969938,0.1,1269,372,873,91,252,53,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,MUC16,TP53,0.15671971706454466,0.5523872679045093,0.1,1269,372,477,487,161,144,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,PIK3CA,SMAD4,0.19350822587816807,0.1401511783014673,0.1,5693,1305,3945,596,956,196,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,PIK3CA,TP53,0.19350822587816807,0.659670964873277,0.1,5693,1305,1241,3300,570,582,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,SMAD4,TP53,0.1401511783014673,0.659670964873277,0.1,5693,1305,1548,3353,263,529,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,LUAD,CSMD3,EGFR,0.1573578168834481,0.3736291762305534,0.1,1283,480,662,320,264,37,8,8,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,LUAD,CSMD3,FAT3,0.1573578168834481,0.13823004335628666,0.1,1283,480,908,74,204,97,8,8,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,LUAD,CSMD3,KRAS,0.1573578168834481,0.18770721754654424,0.1,1283,480,819,163,207,94,8,8,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,LUAD,CSMD3,LRP1B,0.1573578168834481,0.20530476919153276,0.1,1283,480,865,117,168,133,8,8,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,LUAD,CSMD3,MUC16,0.1573578168834481,0.1734251466462637,0.1,1283,480,826,156,132,169,8,8,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,LUAD,CSMD3,TP53,0.1573578168834481,0.46442234123947973,0.1,1283,480,657,325,101,200,8,8,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,LUAD,EGFR,FAT3,0.3736291762305534,0.13823004335628666,0.1,1283,480,779,147,333,24,8,8,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
